epoch,loss,val_loss,mae,val_mae
1,4231.40576171875,1693.154296875,55.99757766723633,36.39017105102539
2,695.2523193359375,189.45556640625,20.24396324157715,9.498384475708008
3,275.0524597167969,197.05035400390625,12.560174942016602,9.096758842468262
4,240.24337768554688,171.14564514160156,11.607941627502441,9.206640243530273
5,236.93038940429688,183.90113830566406,11.49222183227539,8.608683586120605
6,225.2515869140625,155.80258178710938,11.220865249633789,8.809720039367676
7,218.3982696533203,155.66392517089844,10.976078987121582,8.441226959228516
8,214.5246124267578,147.4529266357422,10.909452438354492,8.059183120727539
9,218.21377563476562,151.0668182373047,10.951920509338379,8.154266357421875
10,209.495849609375,146.04833984375,10.702375411987305,8.166600227355957
11,207.20541381835938,148.7603759765625,10.617216110229492,7.99262809753418
12,207.85523986816406,144.66554260253906,10.650150299072266,8.061960220336914
13,204.63449096679688,146.4589080810547,10.549159049987793,7.9195780754089355
14,204.612548828125,144.79238891601562,10.514752388000488,8.06067943572998
15,202.90582275390625,142.5183563232422,10.453107833862305,7.960347652435303
16,205.6726837158203,143.0359649658203,10.517245292663574,7.867080211639404
17,200.34188842773438,145.16148376464844,10.362848281860352,7.815450191497803
18,203.68692016601562,144.2717742919922,10.479863166809082,7.7756781578063965
19,203.43202209472656,143.23313903808594,10.406624794006348,7.758049488067627
20,201.07473754882812,142.6991729736328,10.367597579956055,7.754538059234619
21,199.54150390625,142.2662811279297,10.356122016906738,7.781978607177734
22,204.70388793945312,142.42257690429688,10.483331680297852,7.819300174713135
23,202.37548828125,142.6906280517578,10.424725532531738,7.771708965301514
24,201.29327392578125,142.1602325439453,10.409546852111816,7.7996344566345215
25,200.6662139892578,142.2391815185547,10.378931999206543,7.793288230895996
26,200.9587860107422,141.8845977783203,10.369526863098145,7.814384937286377
27,200.57308959960938,141.9061737060547,10.38338851928711,7.835016250610352
28,199.12942504882812,141.9923095703125,10.354254722595215,7.820041179656982
29,202.06150817871094,141.9327850341797,10.377618789672852,7.824705600738525
30,200.37884521484375,141.9764862060547,10.346383094787598,7.815518379211426
31,198.53623962402344,141.8800506591797,10.321399688720703,7.821399211883545
32,200.81594848632812,141.89515686035156,10.408890724182129,7.8158674240112305
33,197.91482543945312,141.9964599609375,10.30899429321289,7.8132100105285645
34,198.7638397216797,141.84877014160156,10.316496849060059,7.82136344909668
35,201.69325256347656,141.88035583496094,10.37405014038086,7.81639289855957
36,201.6604766845703,141.91412353515625,10.443882942199707,7.81608772277832
37,202.06549072265625,141.9491424560547,10.39122200012207,7.814567565917969
38,200.07371520996094,141.91604614257812,10.34680461883545,7.817956447601318
39,197.4477996826172,141.930908203125,10.298625946044922,7.814993858337402
40,200.84864807128906,141.9226531982422,10.387781143188477,7.814795017242432
