epoch,loss,val_loss,mae,val_mae
1,10359.6279296875,6444.92236328125,90.44903564453125,69.8272933959961
2,3094.114501953125,1815.677978515625,42.18203353881836,29.097436904907227
3,1718.5782470703125,1928.647216796875,30.282127380371094,28.671585083007812
4,1672.156494140625,1660.123291015625,29.716678619384766,27.407960891723633
5,1679.270263671875,2205.011962890625,29.843677520751953,34.49341583251953
6,1632.7760009765625,1748.737548828125,29.442947387695312,30.533411026000977
7,1613.63671875,2247.026611328125,29.13500213623047,32.75718307495117
8,1585.70556640625,1501.90625,28.89084243774414,26.33582305908203
9,1553.78564453125,1693.8514404296875,28.48251724243164,27.251916885375977
10,1556.0272216796875,1419.1024169921875,28.58431053161621,26.420833587646484
11,1524.76513671875,1419.591064453125,28.3151798248291,26.006006240844727
12,1502.544677734375,1527.8021240234375,28.170631408691406,26.665794372558594
13,1516.017333984375,1459.3807373046875,28.29943084716797,26.62415885925293
14,1480.0914306640625,1635.451171875,27.88676643371582,28.399206161499023
15,1459.197021484375,1356.43603515625,27.728107452392578,25.189714431762695
16,1453.3431396484375,1337.1513671875,27.57015609741211,24.782814025878906
17,1436.7066650390625,1529.227783203125,27.34166717529297,27.249732971191406
18,1414.47119140625,1351.456787109375,27.228864669799805,25.272384643554688
19,1440.318603515625,1379.2821044921875,27.545331954956055,25.111623764038086
20,1373.0927734375,1305.1480712890625,26.64479637145996,24.890825271606445
21,1381.8284912109375,1412.6314697265625,26.844398498535156,25.157625198364258
22,1352.3592529296875,1273.3021240234375,26.580923080444336,24.435420989990234
23,1379.8719482421875,1325.5860595703125,26.735607147216797,24.629150390625
24,1375.743896484375,1281.2628173828125,26.721923828125,24.893592834472656
25,1382.2158203125,1365.556640625,26.8385009765625,24.592283248901367
26,1337.1741943359375,1258.4073486328125,26.287818908691406,24.06031036376953
27,1336.7430419921875,1245.332763671875,26.408552169799805,24.096445083618164
28,1320.7340087890625,1241.9112548828125,26.269489288330078,23.972925186157227
29,1325.8656005859375,1234.6904296875,26.247806549072266,24.157758712768555
30,1319.539794921875,1257.3905029296875,26.31302261352539,24.049821853637695
31,1324.3780517578125,1238.1251220703125,26.313486099243164,23.946292877197266
32,1308.04736328125,1259.4608154296875,26.22275161743164,24.11434555053711
33,1285.488525390625,1228.7960205078125,25.930360794067383,23.74970054626465
34,1291.47216796875,1222.3414306640625,25.70283317565918,23.721336364746094
35,1278.6190185546875,1221.904541015625,25.931568145751953,23.65279197692871
36,1281.009521484375,1219.365234375,26.00712013244629,23.73735237121582
37,1280.4119873046875,1228.388671875,25.82465934753418,23.970670700073242
38,1274.2052001953125,1209.830078125,25.836063385009766,23.595733642578125
39,1301.22509765625,1213.598388671875,26.082469940185547,23.68602752685547
40,1276.785400390625,1215.0152587890625,25.83721923828125,23.674930572509766
