Dataset,Model,MAE,RMSE,R2
FD001,LSTM,25.82220458984375,37.21616050238206,0.6890077590942383
FD001,GRU,76.4999008178711,97.51369595311984,-1.1350975036621094
FD002,LSTM,28.814298629760742,38.67295768686434,0.6748787760734558
FD002,GRU,62.10077667236328,79.50768007812988,-0.3741961717605591
FD003,LSTM,35.188026428222656,51.041338753198374,0.7228384017944336
FD003,GRU,102.36973571777344,136.6536237742161,-0.9866949319839478
FD004,LSTM,36.399044036865234,51.25862398858484,0.6587693691253662
FD004,GRU,78.46773529052734,103.64419963117811,-0.3950960636138916
